step,info
15000,"grad_norm=0.2175, loss=0.0072, param_norm=1386.2961"
15100,"grad_norm=0.2080, loss=0.0081, param_norm=1386.2999"
15200,"grad_norm=0.1875, loss=0.0078, param_norm=1386.3077"
15300,"grad_norm=0.1932, loss=0.0081, param_norm=1386.3158"
15400,"grad_norm=0.1848, loss=0.0081, param_norm=1386.3234"
15500,"grad_norm=0.1782, loss=0.0079, param_norm=1386.3309"
15600,"grad_norm=0.1809, loss=0.0079, param_norm=1386.3387"
15700,"grad_norm=0.1790, loss=0.0079, param_norm=1386.3462"
15800,"grad_norm=0.1887, loss=0.0079, param_norm=1386.3540"
15900,"grad_norm=0.1714, loss=0.0079, param_norm=1386.3616"
16000,"grad_norm=0.1872, loss=0.0078, param_norm=1386.3691"
16100,"grad_norm=0.1783, loss=0.0079, param_norm=1386.3768"
16200,"grad_norm=0.1825, loss=0.0078, param_norm=1386.3846"
16300,"grad_norm=0.1844, loss=0.0077, param_norm=1386.3922"
16400,"grad_norm=0.1962, loss=0.0079, param_norm=1386.3998"
16500,"grad_norm=0.1891, loss=0.0078, param_norm=1386.4073"
16600,"grad_norm=0.1998, loss=0.0078, param_norm=1386.4149"
16700,"grad_norm=0.1794, loss=0.0076, param_norm=1386.4225"
16800,"grad_norm=0.2037, loss=0.0077, param_norm=1386.4302"
16900,"grad_norm=0.1903, loss=0.0079, param_norm=1386.4375"
17000,"grad_norm=0.1920, loss=0.0076, param_norm=1386.4449"
17100,"grad_norm=0.1864, loss=0.0076, param_norm=1386.4525"
17200,"grad_norm=0.1790, loss=0.0074, param_norm=1386.4600"
17300,"grad_norm=0.1773, loss=0.0075, param_norm=1386.4673"
17400,"grad_norm=0.1843, loss=0.0077, param_norm=1386.4751"
17500,"grad_norm=0.1823, loss=0.0076, param_norm=1386.4824"
17600,"grad_norm=0.2069, loss=0.0076, param_norm=1386.4902"
17700,"grad_norm=0.1905, loss=0.0075, param_norm=1386.4977"
17800,"grad_norm=0.1952, loss=0.0075, param_norm=1386.5052"
17900,"grad_norm=0.1894, loss=0.0077, param_norm=1386.5125"
18000,"grad_norm=0.1771, loss=0.0076, param_norm=1386.5203"
18100,"grad_norm=0.1947, loss=0.0074, param_norm=1386.5278"
18200,"grad_norm=0.1861, loss=0.0075, param_norm=1386.5356"
18300,"grad_norm=0.1844, loss=0.0077, param_norm=1386.5431"
18400,"grad_norm=0.1818, loss=0.0074, param_norm=1386.5504"
18500,"grad_norm=0.1839, loss=0.0076, param_norm=1386.5581"
18600,"grad_norm=0.1690, loss=0.0076, param_norm=1386.5656"
18700,"grad_norm=0.1835, loss=0.0077, param_norm=1386.5732"
18800,"grad_norm=0.1756, loss=0.0073, param_norm=1386.5806"
18900,"grad_norm=0.1919, loss=0.0073, param_norm=1386.5881"
19000,"grad_norm=0.1894, loss=0.0073, param_norm=1386.5956"
19100,"grad_norm=0.1729, loss=0.0074, param_norm=1386.6033"
19200,"grad_norm=0.1733, loss=0.0074, param_norm=1386.6110"
19300,"grad_norm=0.2003, loss=0.0072, param_norm=1386.6184"
19400,"grad_norm=0.1898, loss=0.0074, param_norm=1386.6256"
19500,"grad_norm=0.1726, loss=0.0074, param_norm=1386.6335"
19600,"grad_norm=0.1743, loss=0.0073, param_norm=1386.6411"
19700,"grad_norm=0.1911, loss=0.0074, param_norm=1386.6484"
19800,"grad_norm=0.1778, loss=0.0072, param_norm=1386.6560"
19900,"grad_norm=0.1858, loss=0.0073, param_norm=1386.6637"
20000,"grad_norm=0.1866, loss=0.0072, param_norm=1386.6709"
20100,"grad_norm=0.1695, loss=0.0072, param_norm=1386.6785"
20200,"grad_norm=0.1892, loss=0.0071, param_norm=1386.6859"
20300,"grad_norm=0.1746, loss=0.0070, param_norm=1386.6934"
20400,"grad_norm=0.1680, loss=0.0072, param_norm=1386.7010"
20500,"grad_norm=0.1850, loss=0.0071, param_norm=1386.7084"
20600,"grad_norm=0.1800, loss=0.0071, param_norm=1386.7159"
20700,"grad_norm=0.1845, loss=0.0072, param_norm=1386.7234"
20800,"grad_norm=0.1943, loss=0.0073, param_norm=1386.7310"
20900,"grad_norm=0.1792, loss=0.0071, param_norm=1386.7388"
21000,"grad_norm=0.1796, loss=0.0070, param_norm=1386.7462"
21100,"grad_norm=0.1772, loss=0.0070, param_norm=1386.7539"
21200,"grad_norm=0.1782, loss=0.0069, param_norm=1386.7615"
21300,"grad_norm=0.1724, loss=0.0071, param_norm=1386.7690"
21400,"grad_norm=0.1837, loss=0.0070, param_norm=1386.7764"
21500,"grad_norm=0.1816, loss=0.0071, param_norm=1386.7837"
21600,"grad_norm=0.1985, loss=0.0070, param_norm=1386.7913"
21700,"grad_norm=0.1751, loss=0.0068, param_norm=1386.7987"
21800,"grad_norm=0.1813, loss=0.0068, param_norm=1386.8063"
