step,info
40000,"grad_norm=0.1886, loss=0.0048, param_norm=1388.1548"
40100,"grad_norm=0.1754, loss=0.0057, param_norm=1388.1586"
40200,"grad_norm=0.1624, loss=0.0056, param_norm=1388.1658"
40300,"grad_norm=0.1662, loss=0.0057, param_norm=1388.1731"
40400,"grad_norm=0.1735, loss=0.0056, param_norm=1388.1803"
40500,"grad_norm=0.1702, loss=0.0057, param_norm=1388.1875"
40600,"grad_norm=0.1724, loss=0.0059, param_norm=1388.1949"
40700,"grad_norm=0.1860, loss=0.0058, param_norm=1388.2023"
40800,"grad_norm=0.1670, loss=0.0057, param_norm=1388.2097"
40900,"grad_norm=0.1696, loss=0.0056, param_norm=1388.2172"
41000,"grad_norm=0.1689, loss=0.0056, param_norm=1388.2245"
41100,"grad_norm=0.1776, loss=0.0056, param_norm=1388.2317"
41200,"grad_norm=0.1647, loss=0.0058, param_norm=1388.2391"
41300,"grad_norm=0.1674, loss=0.0058, param_norm=1388.2466"
41400,"grad_norm=0.1850, loss=0.0056, param_norm=1388.2537"
41500,"grad_norm=0.1598, loss=0.0056, param_norm=1388.2612"
41600,"grad_norm=0.1750, loss=0.0058, param_norm=1388.2684"
41700,"grad_norm=0.1726, loss=0.0058, param_norm=1388.2756"
41800,"grad_norm=0.1676, loss=0.0057, param_norm=1388.2830"
41900,"grad_norm=0.1833, loss=0.0056, param_norm=1388.2902"
42000,"grad_norm=0.1701, loss=0.0058, param_norm=1388.2976"
42100,"grad_norm=0.1756, loss=0.0057, param_norm=1388.3049"
42200,"grad_norm=0.1694, loss=0.0056, param_norm=1388.3123"
42300,"grad_norm=0.1603, loss=0.0055, param_norm=1388.3193"
42400,"grad_norm=0.1620, loss=0.0055, param_norm=1388.3267"
42500,"grad_norm=0.1763, loss=0.0055, param_norm=1388.3340"
42600,"grad_norm=0.1710, loss=0.0058, param_norm=1388.3414"
42700,"grad_norm=0.1710, loss=0.0054, param_norm=1388.3484"
42800,"grad_norm=0.1703, loss=0.0056, param_norm=1388.3560"
42900,"grad_norm=0.1665, loss=0.0057, param_norm=1388.3634"
43000,"grad_norm=0.1716, loss=0.0056, param_norm=1388.3706"
43100,"grad_norm=0.1631, loss=0.0055, param_norm=1388.3778"
43200,"grad_norm=0.1687, loss=0.0054, param_norm=1388.3850"
43300,"grad_norm=0.1763, loss=0.0055, param_norm=1388.3922"
43400,"grad_norm=0.1682, loss=0.0056, param_norm=1388.3995"
43500,"grad_norm=0.1748, loss=0.0057, param_norm=1388.4065"
43600,"grad_norm=0.1519, loss=0.0056, param_norm=1388.4138"
43700,"grad_norm=0.1725, loss=0.0057, param_norm=1388.4213"
43800,"grad_norm=0.1650, loss=0.0056, param_norm=1388.4285"
43900,"grad_norm=0.1695, loss=0.0057, param_norm=1388.4359"
44000,"grad_norm=0.1739, loss=0.0054, param_norm=1388.4432"
44100,"grad_norm=0.1727, loss=0.0054, param_norm=1388.4503"
44200,"grad_norm=0.1765, loss=0.0056, param_norm=1388.4575"
44300,"grad_norm=0.1705, loss=0.0054, param_norm=1388.4646"
44400,"grad_norm=0.1745, loss=0.0056, param_norm=1388.4718"
44500,"grad_norm=0.1687, loss=0.0055, param_norm=1388.4794"
44600,"grad_norm=0.1531, loss=0.0055, param_norm=1388.4868"
44700,"grad_norm=0.1697, loss=0.0056, param_norm=1388.4940"
44800,"grad_norm=0.1572, loss=0.0054, param_norm=1388.5013"
44900,"grad_norm=0.1644, loss=0.0056, param_norm=1388.5087"
45000,"grad_norm=0.1788, loss=0.0056, param_norm=1388.5162"
45100,"grad_norm=0.1650, loss=0.0054, param_norm=1388.5236"
45200,"grad_norm=0.1659, loss=0.0054, param_norm=1388.5308"
45300,"grad_norm=0.1761, loss=0.0056, param_norm=1388.5382"
45400,"grad_norm=0.1707, loss=0.0054, param_norm=1388.5457"
45500,"grad_norm=0.1554, loss=0.0054, param_norm=1388.5527"
45600,"grad_norm=0.1631, loss=0.0055, param_norm=1388.5603"
45700,"grad_norm=0.1607, loss=0.0054, param_norm=1388.5675"
45800,"grad_norm=0.1842, loss=0.0055, param_norm=1388.5747"
45900,"grad_norm=0.1675, loss=0.0054, param_norm=1388.5818"
46000,"grad_norm=0.1703, loss=0.0053, param_norm=1388.5894"
46100,"grad_norm=0.1693, loss=0.0054, param_norm=1388.5966"
46200,"grad_norm=0.1625, loss=0.0053, param_norm=1388.6034"
46300,"grad_norm=0.1724, loss=0.0053, param_norm=1388.6107"
46400,"grad_norm=0.1706, loss=0.0055, param_norm=1388.6180"
46500,"grad_norm=0.1742, loss=0.0055, param_norm=1388.6252"
46600,"grad_norm=0.1489, loss=0.0054, param_norm=1388.6326"
46700,"grad_norm=0.1680, loss=0.0055, param_norm=1388.6396"
46800,"grad_norm=0.1611, loss=0.0053, param_norm=1388.6470"
46900,"grad_norm=0.1636, loss=0.0052, param_norm=1388.6543"
47000,"grad_norm=0.1496, loss=0.0053, param_norm=1388.6619"
47100,"grad_norm=0.1722, loss=0.0055, param_norm=1388.6692"
47200,"grad_norm=0.1643, loss=0.0054, param_norm=1388.6765"
47300,"grad_norm=0.1719, loss=0.0055, param_norm=1388.6841"
47400,"grad_norm=0.1602, loss=0.0055, param_norm=1388.6910"
47500,"grad_norm=0.1639, loss=0.0055, param_norm=1388.6984"
47600,"grad_norm=0.1531, loss=0.0053, param_norm=1388.7059"
47700,"grad_norm=0.1703, loss=0.0053, param_norm=1388.7131"
47800,"grad_norm=0.1663, loss=0.0055, param_norm=1388.7205"
47900,"grad_norm=0.1844, loss=0.0055, param_norm=1388.7279"
48000,"grad_norm=0.1602, loss=0.0052, param_norm=1388.7352"
